title|url|date|course_info|start_time|language|location_detail|target_group|subscription_limit|constraints|price|details|sub_title|intro|full_body|data
Predict client's average waiting time|https://www.vaia.be/en/courses/mission-ai-2|15/05/2023|A Mission.ai Workshop-Brussel-VAIA &amp; VUB|15 May 2023 09:30 - 17:00|English|FARI Test and Experience Centre, Kantersteen 10/12, 1000 Brussel|Target audience: software developer or researcher with a need to learn more about AI||knowledge of Python is required|free|https://www.vub.be/en/event/ai-challenge-for-software-developers-and-researchers-0#paragraph-167486|Artificial Intelligence challenge for software developers|Join us for a one-day training designed for developers where you'll focus on solving a specific problem and gain a framework for learning new AI techniques. Today's challenge consists of predicting a client's average waiting time.| You find it hard to assess what information is correct? You miss a bigger picture?Are you feeling the pressure to upskill in AI  even though you don't have a background in it? You're not alone. Many developers are facing this challenge  but since you're great self-learners you continuously improve your skills by reading blogs  coding  and collaborating with colleagues. However  navigating the vast amount of information available can be overwhelming  and the lack of a proper framework makes it challenging to interpret this information correctly. Additionally  there is a lot of misinformation out there  making it difficult to separate accurate information from incomplete  unclear  or misleading information. Since going back to school for a degree in AI may not be a practical option for many of you  as it can be too theoretical and not directly applicable to your work we want to explore a new learning technique with you: a single day of training where you focus on solving a concrete problem which provides a framework for learning new concrete AI techniques. The teaching material is oriented around very concrete hands-on programming challenges. Each challenge aims to explain a certain AI technique. However  they are formulated as a challenge for which where classical methods fall short.  Your company delivers a cloud service through an online API. It is very serious about customer experience and wishes to keep average waiting times for customers below a threshold. |Predict clients average waiting time  You find it hard to assess what information is correct You miss a bigger pictureAre you feeling the pressure to upskill in AI  even though you dont have a background in it Youre not alone Many developers are facing this challenge  but since youre great selflearners you continuously improve your skills by reading blogs  coding  and collaborating with colleagues However  navigating the vast amount of information available can be overwhelming  and the lack of a proper framework makes it challenging to interpret this information correctly Additionally  there is a lot of misinformation out there  making it difficult to separate accurate information from incomplete  unclear  or misleading information Since going back to school for a degree in AI may not be a practical option for many of you  as it can be too theoretical and not directly applicable to your work we want to explore a new learning technique with you a single day of training where you focus on solving a concrete problem which provides a framework for learning new concrete AI techniques The teaching material is oriented around very concrete handson programming challenges Each challenge aims to explain a certain AI technique However  they are formulated as a challenge for which where classical methods fall short  Your company delivers a cloud service through an online API It is very serious about customer experience and wishes to keep average waiting times for customers below a threshold  Join us for a oneday training designed for developers where youll focus on solving a specific problem and gain a framework for learning new AI techniques Todays challenge consists of predicting a clients average waiting time httpswwwvubbeeneventaichallengeforsoftwaredevelopersandresearchers0paragraph167486 Artificial Intelligence challenge for software developers A Missionai WorkshopBrusselVAIA amp VUB
Responsible AI in practice|https://www.vaia.be/en/courses/responsible-ai-in-practice-assessing-risks-of-an-ai-ml-system-2|15/05/2023|One-day training-Utrecht-Rhite|15 May 2023 09:00 - 17:00|English|Utrecht, The Netherlands|Target audience: privacy professionals, data scientists, engineers, any stakeholder working with or interested in AI.||none|€795,- (Excl. VAT)|https://rhite.tech/nl/wat-we-doen/trainingen/responsible-ai-in-practice|Assessing risks of an AI/ML system|This one-day training will prepare you to face the challenges associated with building responsible AI systems. It is an intensive hands-on training with enough time for reflection, discussions, and practical group exercises.| Understanding of AI/MLHow to identify data flows and different (privacy) related risksSome of the different impact assessments tools and how to use them in combination with a DPIA (Data Privacy Impact Assessment)Introduction to AI Threat Modeling and AI AuditingHow to assess the risks of AI systems during the different phases of the development life cycleHow to apply the AI risk assessment tool PLOT4ai (https://plot4.ai)The impact of the EU AI ActThe concept of Data Ethics and some of the available assessment toolsA wide variety of practical tips  such as how to apply this knowledge in agile environments! |Responsible AI in practice  Understanding of AIMLHow to identify data flows and different privacy related risksSome of the different impact assessments tools and how to use them in combination with a DPIA Data Privacy Impact AssessmentIntroduction to AI Threat Modeling and AI AuditingHow to assess the risks of AI systems during the different phases of the development life cycleHow to apply the AI risk assessment tool PLOT4ai httpsplot4aiThe impact of the EU AI ActThe concept of Data Ethics and some of the available assessment toolsA wide variety of practical tips  such as how to apply this knowledge in agile environments  This oneday training will prepare you to face the challenges associated with building responsible AI systems It is an intensive handson training with enough time for reflection discussions and practical group exercises httpsrhitetechnlwatwedoentrainingenresponsibleaiinpractice Assessing risks of an AIML system Oneday trainingUtrechtRhite
AI &amp; Digital Design Tools in Architecture|https://www.vaia.be/en/courses/ai-digital-design-tools-in-architecture|11/05/2023|Two-day Masterclass-Antwerp-VAIA &amp; UAntwerpen|11 May 2023 - 13 May 2023|English|Conference Center Hof van Liere, Prinsstraat 13, Antwerp|Target audience: researchers and professionals in architecture sector|30 Apr 2023|software requirements: participants are required to have an installation of Rhinoceros on their laptop, including the Grasshopper component for visual scripting.|€135 for researchers;  €255 for professionals (fee includes lunches and coffee breaks)|https://www.uantwerpen.be/en/conferences/ai-and-digital-design-tools-in-architecture/registration/|Explore artificial intelligence for architectural design|In this masterclass you will learn about the potential, limitations and common pitfalls of AI in architectural design. You will gain both theoretical knowledge and practical skills via interdisciplinary debates, keynote lectures and classroom exercises, under the guidance of invited experts.| round-table discussion to connect like-minded participants in an open debateAttending the round-table discussion the day before the masterclass is optional  but highly encouraged due to the networking opportunities and the synergy between researchers and professionals it presents.masterclass to learn practical AI applications from an international expertThis two-day masterclass will be taught by David Andres Leon  the head of IAAC's computational design unit in Barcelona  and an assistant. The masterclass guarantees close guidance in a small group with a high teacher/student ratio. The schedule includes networking opportunities and catered lunches. Participants will receive the necessary preparation-info a month before the event starts.  Preparation for the round-table discussion Participants will be asked to prepare a small presentation on themselves  ongoing research or professional projects related to AI in architecture. Preparation for the masterclass​ Participants will be provided with an online tool to learn some of the basics of programming in advance. This online course will take a few hours to complete  and the experts of the masterclass will have access to follow-up on the progress and general level of the group. This way  participants will have a prior knowledge so the masterclass can focus on architectural applications within artificial intelligence. |AI amp Digital Design Tools in Architecture  roundtable discussion to connect likeminded participants in an open debateAttending the roundtable discussion the day before the masterclass is optional  but highly encouraged due to the networking opportunities and the synergy between researchers and professionals it presentsmasterclass to learn practical AI applications from an international expertThis twoday masterclass will be taught by David Andres Leon  the head of IAACs computational design unit in Barcelona  and an assistant The masterclass guarantees close guidance in a small group with a high teacherstudent ratio The schedule includes networking opportunities and catered lunches Participants will receive the necessary preparationinfo a month before the event starts  Preparation for the roundtable discussion Participants will be asked to prepare a small presentation on themselves  ongoing research or professional projects related to AI in architecture Preparation for the masterclass​ Participants will be provided with an online tool to learn some of the basics of programming in advance This online course will take a few hours to complete  and the experts of the masterclass will have access to followup on the progress and general level of the group This way  participants will have a prior knowledge so the masterclass can focus on architectural applications within artificial intelligence  In this masterclass you will learn about the potential limitations and common pitfalls of AI in architectural design You will gain both theoretical knowledge and practical skills via interdisciplinary debates keynote lectures and classroom exercises under the guidance of invited experts httpswwwuantwerpenbeenconferencesaianddigitaldesigntoolsinarchitectureregistration Explore artificial intelligence for architectural design Twoday MasterclassAntwerpVAIA amp UAntwerpen
Challenges of implementing AI in the healthcare ecosystem|https://www.vaia.be/en/courses/ai-implementeren-in-de-gezondheidssector|9/05/2023|Two-day Masterclass-Hasselt-VAIA and UHasselt|9 May 2023 - 23 May 2023|English|Corda Conference, Hasselt|Target audience: Medical experts interested in using AI tools, developers and technical experts working on medical applications|23 May 2023||"€500 excl. btw | registration for one day: €300 | PhD students: €300 / €200"|https://www.uhasselt.be/ai-gezondheidszorg#anch-inschrijven|Bridging the gap between physicians and technical experts|Artificial Intelligence (AI) is increasingly present in our society and also has more and more applications in the medical world. In this master class, we will discuss the challenges and possible risks of AI applications in healthcare. As a decision-maker, medical or technology expert, you will be given the necessary tools to engage in dialogue and address common challenges in developing and implementing AI in the sector. Moreover, after attending this Masterclass, you will have the necessary insights to effectively and safely engage with AI tools in your clinical environment.| Potential AI errors and patient harmMisuse of AI tools due to limited knowledge among clinicians and citizens  among othersBias in AI and the continuation of existing inequalitiesLack of transparencyVulnerability to hacking and data privacy breachesGaps in accountabilityImplementation obstacles |Challenges of implementing AI in the healthcare ecosystem  Potential AI errors and patient harmMisuse of AI tools due to limited knowledge among clinicians and citizens  among othersBias in AI and the continuation of existing inequalitiesLack of transparencyVulnerability to hacking and data privacy breachesGaps in accountabilityImplementation obstacles  Artificial Intelligence AI is increasingly present in our society and also has more and more applications in the medical world In this master class we will discuss the challenges and possible risks of AI applications in healthcare As a decisionmaker medical or technology expert you will be given the necessary tools to engage in dialogue and address common challenges in developing and implementing AI in the sector Moreover after attending this Masterclass you will have the necessary insights to effectively and safely engage with AI tools in your clinical environment httpswwwuhasseltbeaigezondheidszorganchinschrijven Bridging the gap between physicians and technical experts Twoday MasterclassHasseltVAIA and UHasselt
The seating challenge: optimizing a dinner table|https://www.vaia.be/en/courses/mission-ai|8/05/2023|a Mission.AI Workshop-Brussels-VAIA &amp; VUB|8 May 2023 09:30 - 17:00|English|FARI Test and Experience Centre, Kantersteen 10/12, 1000 Brussel|Target audience: software developer or researcher with a need to learn more about AI||knowledge of Python is required|free|https://www.vub.be/en/event/ai-challenge-for-software-developers-and-researchers-0#paragraph-167486|Artificial Intelligence challenge for software developers|"Join us for a one-day training designed for developers where you'll focus on solving a specific problem and gain a framework for learning new AI techniques. Today's challenge consists of optimizing a dinner table, taking into account existing relationships and feuds: ""Help, my wedding is coming up!"""| You find it hard to assess what information is correct? You miss a bigger picture?Are you feeling the pressure to upskill in AI  even though you don't have a background in it? You're not alone. Many developers are facing this challenge  but since you're great self-learners you continuously improve your skills by reading blogs  coding  and collaborating with colleagues. However  navigating the vast amount of information available can be overwhelming  and the lack of a proper framework makes it challenging to interpret this information correctly. Additionally  there is a lot of misinformation out there  making it difficult to separate accurate information from incomplete  unclear  or misleading information. Since going back to school for a degree in AI may not be a practical option for many of you  as it can be too theoretical and not directly applicable to your work we want to explore a new learning technique with you: a single day of training where you focus on solving a concrete problem which provides a framework for learning new concrete AI techniques. The teaching material is oriented around very concrete hands-on programming challenges. Each challenge aims to explain a certain AI technique. However  they are formulated as a challenge for which where classical methods fall short.  You are soon getting married and wish to write a program to optimally assign guests to the round “table of honour”. Unfortunately  a long and complicated family history means some people should absolutely be separated. Clearly  couples should not be split. |The seating challenge optimizing a dinner table  You find it hard to assess what information is correct You miss a bigger pictureAre you feeling the pressure to upskill in AI  even though you dont have a background in it Youre not alone Many developers are facing this challenge  but since youre great selflearners you continuously improve your skills by reading blogs  coding  and collaborating with colleagues However  navigating the vast amount of information available can be overwhelming  and the lack of a proper framework makes it challenging to interpret this information correctly Additionally  there is a lot of misinformation out there  making it difficult to separate accurate information from incomplete  unclear  or misleading information Since going back to school for a degree in AI may not be a practical option for many of you  as it can be too theoretical and not directly applicable to your work we want to explore a new learning technique with you a single day of training where you focus on solving a concrete problem which provides a framework for learning new concrete AI techniques The teaching material is oriented around very concrete handson programming challenges Each challenge aims to explain a certain AI technique However  they are formulated as a challenge for which where classical methods fall short  You are soon getting married and wish to write a program to optimally assign guests to the round “table of honour” Unfortunately  a long and complicated family history means some people should absolutely be separated Clearly  couples should not be split  Join us for a oneday training designed for developers where youll focus on solving a specific problem and gain a framework for learning new AI techniques Todays challenge consists of optimizing a dinner table taking into account existing relationships and feuds Help my wedding is coming up httpswwwvubbeeneventaichallengeforsoftwaredevelopersandresearchers0paragraph167486 Artificial Intelligence challenge for software developers a MissionAI WorkshopBrusselsVAIA amp VUB
Digital Ethics|https://www.vaia.be/en/courses/digital-ethics|4/05/2023|Course-Hybride-KU Leuven|4 May 2023 - 22 Jun 2023|English|Hybride|Target audience: professionals looking to expand their knowledge and skills in the field of Digital Ethics||no|€1400|https://www.kuleuven.be/digisoc/education-and-training/hybrid-course-on-digital-ethics|4 May 2023 - 22 Jun 2023|More info  Share this course  |" By participating in this course  you will gain the knowledge and skills necessary to navigate the complex ethical landscape of the digital world and make informed decisions that align with your organisation's values. Our course will cover a range of important topics  including ethics frameworks and tools  regulation and legal issues  developing ethical technology  technology assessment  ethical dilemmas  and ethics in data and visualisation. Session 1: Ethics frameworks  tools and methods – Thursday 4 May 2023During this session  we will explore the various reasons that can be used to justify ethical decisions  including virtue ethics  consequence ethics  and duty ethics. We will also introduce frameworks and tools that can be used to make ethical decisions in different contexts  such as business  professional  and research ethics  as well as codes of ethics. This session will provide attendees with a solid foundation in the principles and practices of ethical decision-making in the digital realm. Session 2: Legal and policy issues – Thursday 11 May 2023This session will explore a number of legal issues that arise in the digital realm  in particular related to fairness and non-discrimination as well as data protection. In addition  we will discuss relevant policies that exist at different administrative levels. This session will provide attendees with an understanding of appropriate legal and policy frameworks that establish a background for ethical decision-making in the digital realm. Session 3: Technology assessment – Thursday 25 May 2023This session will provide insight into the impact and effects of technology  and will introduce tools and methods for assessing the risks of innovation and averting undesirable consequences of new technologies. We will also discuss Responsible Research and Innovation (RRI)  Constructive Technology Assessment (CTA)  and Ethical Technology Assessment (ETA) as frameworks for evaluating the ethical implications of new technologies. The session will also look into the challenges of achieving (positive or negative) impacts with technology due to the interplay of technology  society  organisations and individuals. A dedicated focus will be on the impact of AI technologies in a government context. This session will provide attendees with the skills and knowledge they need to effectively assess the risks and potential consequences of technology. Session 4: Developing and designing ethical technology – Thursday 1 June 2023In this session  we will explore different approaches to designing technology that takes into account the needs and values of human beings. We will discuss humanity-centered design (including design thinking)  inclusive design  value-centered design  and participatory design (or co-creation). We will also explain how to deal with the value implications of design choices in data-driven technologies. We will discuss trust challenges faced by the institutions  the trade-offs in design choices  and associated risks and contingencies in creating public value through emerging technologies. This session will provide attendees with the tools and knowledge they need to create ethical technology that is designed with people at its core. Session 5: Ethical topics and dilemmas – Thursday 8 June 2023In this session  we will explore the concept of responsibility and discuss the different types of responsibility that can arise in the digital realm. We will also examine ethical issues and difficulties that can arise in practice  such as bias  safety  transparency  ecology and sustainability  and trust. This session will provide attendees with an understanding of the ethical challenges that can arise in the digital world  and the tools and frameworks that can be used to address them. Session 6: Ethics in data and visualisation – Thursday 15 June 2023In this session  we will discuss ethical standards in the handling of data and the use of visualisation techniques. We will explore the concept of ""open data"" and the issues of ownership that can arise. We will also examine the potential for visualization to be used in a misleading way  and the challenges posed by uncertainties and subjectivity in data. Additionally  we will discuss the use of metadata and how it can be used to involuntarily trace people. This session will provide attendees with the knowledge and skills they need to ensure that their use of data and visualisation techniques is ethical and responsible. Session 7: Closing and reflection – Thursday 22 June 2023The seventh and final session will be a closing session focused on reflection. In this session  participants will have the opportunity to reflect on how the topics covered in the previous sessions apply to their own professional situations. This session will provide a space for attendees to share their thoughts  insights  and experiences  and to discuss how they plan to incorporate the knowledge and skills they have gained into their work. This will be a valuable opportunity for participants to consolidate their learning and to develop a personal plan for applying the principles of Digital Ethics in their professional lives. "|Digital Ethics  By participating in this course  you will gain the knowledge and skills necessary to navigate the complex ethical landscape of the digital world and make informed decisions that align with your organisations values Our course will cover a range of important topics  including ethics frameworks and tools  regulation and legal issues  developing ethical technology  technology assessment  ethical dilemmas  and ethics in data and visualisation Session 1 Ethics frameworks  tools and methods – Thursday 4 May 2023During this session  we will explore the various reasons that can be used to justify ethical decisions  including virtue ethics  consequence ethics  and duty ethics We will also introduce frameworks and tools that can be used to make ethical decisions in different contexts  such as business  professional  and research ethics  as well as codes of ethics This session will provide attendees with a solid foundation in the principles and practices of ethical decisionmaking in the digital realm Session 2 Legal and policy issues – Thursday 11 May 2023This session will explore a number of legal issues that arise in the digital realm  in particular related to fairness and nondiscrimination as well as data protection In addition  we will discuss relevant policies that exist at different administrative levels This session will provide attendees with an understanding of appropriate legal and policy frameworks that establish a background for ethical decisionmaking in the digital realm Session 3 Technology assessment – Thursday 25 May 2023This session will provide insight into the impact and effects of technology  and will introduce tools and methods for assessing the risks of innovation and averting undesirable consequences of new technologies We will also discuss Responsible Research and Innovation RRI  Constructive Technology Assessment CTA  and Ethical Technology Assessment ETA as frameworks for evaluating the ethical implications of new technologies The session will also look into the challenges of achieving positive or negative impacts with technology due to the interplay of technology  society  organisations and individuals A dedicated focus will be on the impact of AI technologies in a government context This session will provide attendees with the skills and knowledge they need to effectively assess the risks and potential consequences of technology Session 4 Developing and designing ethical technology – Thursday 1 June 2023In this session  we will explore different approaches to designing technology that takes into account the needs and values of human beings We will discuss humanitycentered design including design thinking  inclusive design  valuecentered design  and participatory design or cocreation We will also explain how to deal with the value implications of design choices in datadriven technologies We will discuss trust challenges faced by the institutions  the tradeoffs in design choices  and associated risks and contingencies in creating public value through emerging technologies This session will provide attendees with the tools and knowledge they need to create ethical technology that is designed with people at its core Session 5 Ethical topics and dilemmas – Thursday 8 June 2023In this session  we will explore the concept of responsibility and discuss the different types of responsibility that can arise in the digital realm We will also examine ethical issues and difficulties that can arise in practice  such as bias  safety  transparency  ecology and sustainability  and trust This session will provide attendees with an understanding of the ethical challenges that can arise in the digital world  and the tools and frameworks that can be used to address them Session 6 Ethics in data and visualisation – Thursday 15 June 2023In this session  we will discuss ethical standards in the handling of data and the use of visualisation techniques We will explore the concept of open data and the issues of ownership that can arise We will also examine the potential for visualization to be used in a misleading way  and the challenges posed by uncertainties and subjectivity in data Additionally  we will discuss the use of metadata and how it can be used to involuntarily trace people This session will provide attendees with the knowledge and skills they need to ensure that their use of data and visualisation techniques is ethical and responsible Session 7 Closing and reflection – Thursday 22 June 2023The seventh and final session will be a closing session focused on reflection In this session  participants will have the opportunity to reflect on how the topics covered in the previous sessions apply to their own professional situations This session will provide a space for attendees to share their thoughts  insights  and experiences  and to discuss how they plan to incorporate the knowledge and skills they have gained into their work This will be a valuable opportunity for participants to consolidate their learning and to develop a personal plan for applying the principles of Digital Ethics in their professional lives  More info  Share this course   httpswwwkuleuvenbedigisoceducationandtraininghybridcourseondigitalethics 4 May 2023  22 Jun 2023 CourseHybrideKU Leuven
Python User Group Belgium Meet-up|https://www.vaia.be/en/courses/python-user-group-belgium-meet-up|4/05/2023|Meet-up-Brussels-VAIA &amp; Python User Group Belgium|4 May 2023 18:00 - 20:00|English|VUB, Pleinlaan 2, Brussels. Building D, room D.0.07|Target audience: whether you are a seasoned developer or just starting out with Python, the Python User Group in Belgium is the place to be for anyone interested in the language|||free|https://www.meetup.com/nl-NL/python-user-group-belgium/events/291486209/|The place to be for anyone interested in the language|The Python User Group in Belgium is a community of Python enthusiasts who come together to learn, share, and discuss all things Python. Members of the group range from beginner to advanced levels, and everyone is welcome to join. The group meets on a regular basis to learn from presentations and workshops, share their own experiences and projects, and network with other members. In the future, the group might also host regular events such as hackathons and coding competitions, to promote Python and its uses.| PyTorch Lightning: Andres Algaba (in/andresalgaba/)  will explain how to train ML models using this amazing Python framework.MicroPython: Bart Smeets (in/bartsmeets/)  will show us how to hack your favourite board using Python.Code Cleanup - A Data Scientist's Guide to Sparkling Code: Corrie Bartelheimer (in/corrie-bartelheimer/)  will guide us through some of the basics of clean code and how to implement them in a data science team. |Python User Group Belgium Meetup  PyTorch Lightning Andres Algaba inandresalgaba  will explain how to train ML models using this amazing Python frameworkMicroPython Bart Smeets inbartsmeets  will show us how to hack your favourite board using PythonCode Cleanup  A Data Scientists Guide to Sparkling Code Corrie Bartelheimer incorriebartelheimer  will guide us through some of the basics of clean code and how to implement them in a data science team  The Python User Group in Belgium is a community of Python enthusiasts who come together to learn share and discuss all things Python Members of the group range from beginner to advanced levels and everyone is welcome to join The group meets on a regular basis to learn from presentations and workshops share their own experiences and projects and network with other members In the future the group might also host regular events such as hackathons and coding competitions to promote Python and its uses httpswwwmeetupcomnlNLpythonusergroupbelgiumevents291486209 The place to be for anyone interested in the language MeetupBrusselsVAIA amp Python User Group Belgium
Interpretable deep learning for cancer personalized medicine|https://www.vaia.be/en/courses/interpretable-deep-learning-for-cancer-personalized-medicine|2/05/2023|Lezing-Leuven-KU Leuven ESAT STADIUS|2 May 2023 10:30 - 11:30|English|KU Leuven ESAT-STADIUS, Kasteelpark Arenberg 10, B00.35|Target audience: researchers in AI &amp; healthcare|||free|https://www.esat.kuleuven.be/stadius/event.php?id=2349|2 May 2023 10:30 - 11:30|More info  Share this course  | In recent years  deep learning models have resulted in outstanding breakthrough performances. However  many models behave as black boxes that can hide data biases  incorrect hypotheses or even software errors. In this talk  Maria Rodriguez Martinez (IBM Zürich) illustrates how interpretable deep learning models can achieve both high prediction accuracy and transparency. First  she will introduce multi-modal deep learning models that predict drug response while highlighting the genetic and chemical patterns that were more informative to make a prediction. Rodriguez Martinez also discusses how reinforcement learning approaches can facilitate the early phases of drug discovery and support the personalized design of new candidate compounds. Focusing next on T cell-based immunotherapies  she presents a model to predict the binding of T cell receptors and epitopes. This model can be coupled with an easy-to-use interpretable pipeline to extract the binding rules governing the T cell binding. These approaches are a first step towards the design and engineering of receptors of improved affinity. Finally  she will briefly discuss how interpretable models enable the linkage of different data modalities  such as image and molecular data. In doing so  they can pave the way to the development of personalized models of therapeutic interventions. |Interpretable deep learning for cancer personalized medicine  In recent years  deep learning models have resulted in outstanding breakthrough performances However  many models behave as black boxes that can hide data biases  incorrect hypotheses or even software errors In this talk  Maria Rodriguez Martinez IBM Zürich illustrates how interpretable deep learning models can achieve both high prediction accuracy and transparency First  she will introduce multimodal deep learning models that predict drug response while highlighting the genetic and chemical patterns that were more informative to make a prediction Rodriguez Martinez also discusses how reinforcement learning approaches can facilitate the early phases of drug discovery and support the personalized design of new candidate compounds Focusing next on T cellbased immunotherapies  she presents a model to predict the binding of T cell receptors and epitopes This model can be coupled with an easytouse interpretable pipeline to extract the binding rules governing the T cell binding These approaches are a first step towards the design and engineering of receptors of improved affinity Finally  she will briefly discuss how interpretable models enable the linkage of different data modalities  such as image and molecular data In doing so  they can pave the way to the development of personalized models of therapeutic interventions  More info  Share this course   httpswwwesatkuleuvenbestadiuseventphpid2349 2 May 2023 1030  1130 LezingLeuvenKU Leuven ESAT STADIUS
Artificial Intelligence for Geodata|https://www.vaia.be/en/courses/artifici%C3%ABle-intelligentie-voor-geodata|27/04/2023|Training-Leuven-GIM|27 Apr 2023 09:00 - 17:00|English|UBIcenter D, Philipssite 5 bus 27, 3001 Leuven|Target audience: Geo-ICT, Theme courses||Basic knowledge of GIS|520,00 EUR excl. 21% VAT - including lunch and english course material|https://www.gim.be/nl/training/artificiele-intelligentie-voor-geodata|Geodata science, machine learning, artificial intelligence|These days, you can't escape the terms artificial intelligence, machine learning, deep learning, computer vision, NLP, data science, ... But what do these terms mean exactly and how can these techniques be applied to geodata to solve your spatial problems? How do you determine if AI is the right solution for your problem? Get started during this one-day session that teaches you the concepts, the tools, the typical project workflow and the pitfalls.| These days  you can't escape the terms artificial intelligence  machine learning  deep learning  computer vision  NLP  data science  ... But what do these terms mean exactly and how can these techniques be applied to geodata to solve your spatial problems? How do you determine if AI is the right solution for your problem? Get started during this one-day session that teaches you the concepts  the tools  the typical project workflow and the pitfalls. In this course you will learn: The basic concepts  tools  development process and criteria that will allow you to evaluate how GeoAI can help solve your spatial problems. Topics: Concepts of artificial intelligence  machine learning  GeoAI.Taxonomy of AI techniques.Basic concepts such as supervised  unsupervised and reinforcement learning methods.Machine learning tools: frameworks  applications and server/cloud infrastructure.Development and evaluation of processes.Machine learning canvas to evaluate the feasibility of your project and plan the project.GeoAI use cases in areas such as computer vision  planning  prediction and pattern recognition.GeoAI in practice using an extensive set of use cases. |Artificial Intelligence for Geodata  These days  you cant escape the terms artificial intelligence  machine learning  deep learning  computer vision  NLP  data science   But what do these terms mean exactly and how can these techniques be applied to geodata to solve your spatial problems How do you determine if AI is the right solution for your problem Get started during this oneday session that teaches you the concepts  the tools  the typical project workflow and the pitfalls In this course you will learn The basic concepts  tools  development process and criteria that will allow you to evaluate how GeoAI can help solve your spatial problems Topics Concepts of artificial intelligence  machine learning  GeoAITaxonomy of AI techniquesBasic concepts such as supervised  unsupervised and reinforcement learning methodsMachine learning tools frameworks  applications and servercloud infrastructureDevelopment and evaluation of processesMachine learning canvas to evaluate the feasibility of your project and plan the projectGeoAI use cases in areas such as computer vision  planning  prediction and pattern recognitionGeoAI in practice using an extensive set of use cases  These days you cant escape the terms artificial intelligence machine learning deep learning computer vision NLP data science  But what do these terms mean exactly and how can these techniques be applied to geodata to solve your spatial problems How do you determine if AI is the right solution for your problem Get started during this oneday session that teaches you the concepts the tools the typical project workflow and the pitfalls httpswwwgimbenltrainingartificieleintelligentievoorgeodata Geodata science machine learning artificial intelligence TrainingLeuvenGIM
Extremum seeking in control: Methods, Theory and Applications|https://www.vaia.be/en/courses/extremum-seeking-in-control-methods-theory-and-applications|25/04/2023|3-days course-Louvain la Neuve-SOCN|25 Apr 2023 - 27 Apr 2023|English|UCLouvain - Euler building (room A.002) Avenue Georges Lemaître, 4 - 1348 Louvain la Neuve|Target audience: Researchers|||free|https://sites.uclouvain.be/socn/drupal/socn/node/333|25 Apr 2023 - 27 Apr 2023|More info  Share this course  | The focus of the course is on the design of ESC systems using various leading methodologies which include classical perturbation based methods  estimation based methods and Lie-bracket averaging techniques. The first objective of the course is to present recent contributions to the design of fast ESC systems that can overcome the performance limitations of the classical approaches. The advent of fast techniques have sparked developments in new areas of applications such as distributed optimization  model-free control  observer design and deep learning. The second objective of the course is to present many important generalizations of ESC design techniques. These include the design of ESC for:multivariable systemssystems subject to actuator limitationsdelay systemsoptimal output regulationconstrained optimization problemsThe third objective of the course is to present several emerging applications of ESC in energy systems  biotechnology and power systems. Basic ESC Loop: Analysis and PerformanceFast ESC: Methods and AnalysisESC Generalizations: Challenges and MethodsESC in practice: Applications and Case StudiesBeyond ESC: Adaptation and learning |Extremum seeking in control Methods Theory and Applications  The focus of the course is on the design of ESC systems using various leading methodologies which include classical perturbation based methods  estimation based methods and Liebracket averaging techniques The first objective of the course is to present recent contributions to the design of fast ESC systems that can overcome the performance limitations of the classical approaches The advent of fast techniques have sparked developments in new areas of applications such as distributed optimization  modelfree control  observer design and deep learning The second objective of the course is to present many important generalizations of ESC design techniques These include the design of ESC formultivariable systemssystems subject to actuator limitationsdelay systemsoptimal output regulationconstrained optimization problemsThe third objective of the course is to present several emerging applications of ESC in energy systems  biotechnology and power systems Basic ESC Loop Analysis and PerformanceFast ESC Methods and AnalysisESC Generalizations Challenges and MethodsESC in practice Applications and Case StudiesBeyond ESC Adaptation and learning  More info  Share this course   httpssitesuclouvainbesocndrupalsocnnode333 25 Apr 2023  27 Apr 2023 3days courseLouvain la NeuveSOCN
