profile,tag,skill,score,version
Data Engineer,Languages,SQL,64.8,1
Data Engineer,Languages,Python,61.9,1
Data Engineer,Languages,Java,23.1,1
Data Engineer,Languages,Scala,19.2,1
Data Engineer,Languages,NoSQL,16.2,1
Data Engineer,Languages,R,8,1
Data Engineer,Languages,Shell,7.8,1
Data Engineer,Languages,Go,6.5,1
Data Engineer,Languages,C#,3.7,1
Data Engineer,Languages,JavaScript,3.7,1
Data Engineer,Languages,C++,2.8,1
Data Engineer,Languages,T-SQL,2.3,1
Data Engineer,Languages,Bash,2.1,1
Data Engineer,Languages,C,1.8,1
Data Engineer,Languages,PowerShell,1.8,1
Data Engineer,Languages,Ruby,0.9,1
Data Engineer,Languages,HTML,0.8,1
Data Engineer,Languages,Perl,0.8,1
Data Engineer,Languages,TypeScript,0.6,1
Data Engineer,Languages,CSS,0.6,1
Data Engineer,Languages,PHP,0.6,1
Data Engineer,Languages,MATLAB,0.5,1
Data Engineer,Languages,VBA,0.4,1
Data Engineer,Languages,Rust,0.3,1
Data Engineer,Languages,Kotlin,0.3,1
Data Engineer,Languages,Crystal,0.3,1
Data Engineer,Languages,Julia,0.2,1
Data Engineer,Languages,Assembly,0.2,1
Data Engineer,Languages,Groovy,0.2,1
Data Engineer,Languages,Visual Basic,0.1,1
Data Engineer,Languages,Swift,0.1,1
Data Engineer,Languages,COBOL,0.1,1
Data Engineer,Languages,Solidity,0.1,1
Data Engineer,Languages,VB.NET,0.1,1
Data Engineer,Languages,Haskell,0.1,1
Data Engineer,Tools,Tableau,12,1
Data Engineer,Tools,Power BI,9.6,1
Data Engineer,Tools,SSIS,5.5,1
Data Engineer,Tools,Excel,4.6,1
Data Engineer,Tools,SAP,2.7,1
Data Engineer,Tools,Looker,2.4,1
Data Engineer,Tools,SAS,2.2,1
Data Engineer,Tools,Qlik,2.1,1
Data Engineer,Tools,Word,2,1
Data Engineer,Tools,SSRS,1.9,1
Data Engineer,Tools,Alteryx,1.4,1
Data Engineer,Tools,Splunk,1.1,1
Data Engineer,Tools,DAX,1,1
Data Engineer,Tools,Cognos,0.9,1
Data Engineer,Tools,PowerPoint,0.8,1
Data Engineer,Tools,MicroStrategy,0.8,1
Data Engineer,Tools,SharePoint,0.6,1
Data Engineer,Tools,Outlook,0.6,1
Data Engineer,Tools,Visio,0.4,1
Data Engineer,Tools,SPSS,0.2,1
Data Engineer,Tools,Google Sheets,0.1,1
Data Engineer,Tools,Spreadsheet,0.1,1
Data Engineer,Tools,MS Access,0.1,1
Data Engineer,Tools,DataRobot,0.1,1
Data Engineer,Databases,SQL Server,10.3,1
Data Engineer,Databases,MySQL,7.5,1
Data Engineer,Databases,Cassandra,5.8,1
Data Engineer,Databases,PostgresSQL,5.4,1
Data Engineer,Databases,MongoDB,4.9,1
Data Engineer,Databases,Elasticsearch,2.5,1
Data Engineer,Databases,DynamoDB,2.5,1
Data Engineer,Databases,DB2,1.2,1
Data Engineer,Databases,Redis,1.1,1
Data Engineer,Databases,Neo4j,0.7,1
Data Engineer,Databases,MariaDB,0.3,1
Data Engineer,Databases,CouchDB,0.2,1
Data Engineer,Databases,Firebase,0.2,1
Data Engineer,Databases,Couchbase,0.1,1
Data Engineer,Databases,Firestore,0.1,1
Data Engineer,Databases,SQLite,0.1,1
Data Engineer,Cloud,AWS,39.2,1
Data Engineer,Cloud,Azure,33.7,1
Data Engineer,Cloud,Snowflake,19.2,1
Data Engineer,Cloud,DataBricks,15.5,1
Data Engineer,Cloud,Redshift,13.6,1
Data Engineer,Cloud,GCP,11.6,1
Data Engineer,Cloud,Oracle,10,1
Data Engineer,Cloud,BigQuery,5.2,1
Data Engineer,Cloud,Aurora,1.7,1
Data Engineer,Cloud,IBM Cloud,0.4,1
Data Engineer,Cloud,Vmware,0.3,1
Data Engineer,Cloud,OpenStack,0.1,1
Data Engineer,Cloud,Watson,0.1,1
Data Engineer,Cloud,Colocation,0.1,1
Data Engineer,Libraries,Spark,32.7,1
Data Engineer,Libraries,Kafka,18.6,1
Data Engineer,Libraries,Hadoop,18.6,1
Data Engineer,Libraries,Airflow,14.3,1
Data Engineer,Libraries,PySpark,8.7,1
Data Engineer,Libraries,Pandas,3.4,1
Data Engineer,Libraries,NumPy,1.4,1
Data Engineer,Libraries,React,1.4,1
Data Engineer,Libraries,TensorFlow,1.3,1
Data Engineer,Libraries,Spirng,1.3,1
Data Engineer,Libraries,Jupyter,1.1,1
Data Engineer,Libraries,GDPR,0.9,1
Data Engineer,Libraries,PyTorch,0.9,1
Data Engineer,Libraries,GraphQL,0.8,1
Data Engineer,Libraries,Scikit-learn,0.8,1
Data Engineer,Libraries,Matplotlib,0.4,1
