Id|profile|titles|companies|links|data|date_listed
11|Data Analyst|Board Certified Behavior Analyst|Skills Behavioral and Testing CenterHybrid remote|http://www.indeed.com/rc/clk?jk=bda5c3b98118ae05&bb=HTB3LzNbtvMzUp0-1YIE_wgzsvndu6WmF4cUpbdf9kqwM1pxRLjGQtDEclDu96GoeAs2myOc-6lFtU4Sn8qjUZdy7-k-MbpFaULJUYJZsneT2EcRx-P1dg%3D%3D&xkcb=SoDF67M3CNu_pjxylh0AbzkdCdPP&fccid=eb9157a15a62ca5c&cmp=Skills-Behavioral-and-Testing-Center&ti=Board+Certified+Behavior+Analyst&vjs=3|Profile insightsFind out how your skills align with the job descriptionCertificationsDo you have a valid BCBA certificationYesNoSkillsDo you have experience in Data collectionYesNo Job detailsHere’s how the job details align with your profilePay48  60 an hourJob typeParttimeContractShift and scheduleNo nights LocationRemote BenefitsPulled from the full job descriptionFlexible schedule Full job descriptionJob Summary We are seeking a highly skilled and dedicated Board Certified Behavior Analyst BCBA to join our team You must have an active license to apply As a BCBA you will be responsible for conducting patient assessments developing treatment plans and providing behavioral therapy to individuals with autism and developmental disabilities Your expertise in applied behavior analysis will play a crucial role in improving the lives of our patients Duties  Conduct comprehensive patient assessments to determine the individuals needs and develop appropriate treatment plans  Implement evidencebased behavioral interventions to address challenging behaviors and promote skill development  Collaborate with interdisciplinary teams to ensure coordinated and effective care for patients  Provide ongoing supervision and training to behavior technicians and other staff members  Collect and analyze data to evaluate treatment progress and make necessary adjustments to intervention plans  Conduct diagnostic evaluations to assess the presence of autism spectrum disorder or other developmental disabilities  Maintain accurate and uptodate medical records in compliance with legal and ethical standards  Stay current with research and best practices in the field of applied behavior analysis Skills  Strong knowledge of applied behavior analysis principles and techniques  Experience working with individuals with autism spectrum disorder or other developmental disabilities  Proficient in conducting patient assessments and developing individualized treatment plans  Ability to provide behavioral therapy using evidencebased interventions  Excellent data collection and analysis skills  Strong interpersonal skills to effectively communicate with patients families and interdisciplinary team members  Ability to work independently as well as collaboratively in a team environment This is a paid position that offers competitive compensation based on experience This is a hybrid position 90 will be remote You must meet with your team at least once a month is person Note All positions must be paid including internship positions Job Types Parttime Contract Pay 4800  6000 per hour Expected hours 10 – 25 per week Benefits  Flexible schedule  Patient demographics  Adolescents Adults  Schedule  No nights  Travel requirement  No travel  Work Location Remote |
12|Data Analyst|Operations Business Intelligence Analyst (onsite)|KeHE DistributorsHybrid remote in Naperville, IL 60563|http://www.indeed.com/rc/clk?jk=198c1d2e1f537284&bb=HTB3LzNbtvMzUp0-1YIE_5XsZlvLF3o74XKggHUIPTdYSvyKYchJQ1Y4oGJ524AkWzC1CYIimTA6XO6-dCtM6lxe0xGl7_myoOb9THevI36LLJ3D1OQFhg%3D%3D&xkcb=SoBL67M3CNu_pjxylh0HbzkdCdPP&fccid=8e2790db4e6d0e3e&cmp=KeHE-Distributors&ti=Business+Intelligence+Analyst&vjs=3|Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in SQLYesNoEducationDo you have a Bachelors degreeYesNo Job detailsHere’s how the job details align with your profilePay6521019  7453270 a yearJob typeParttimeFulltimeShift and schedule8 hour shiftDay shiftMonday to Friday Location1245 East Diehl Road Naperville IL 60563 BenefitsPulled from the full job description401kDental insuranceEmployee assistance programEmployee stock purchase planHealth insurancePaid time offVision insurance Full job descriptionThe Ops Business Intelligence Analyst will contribute to the design and support of businesscritical systems eg storage capacities inventory freight flow labor and process efficiency and effectiveness etc This role is responsible for analysis and review of data reporting and visualizations to facilitate a more datadriven agile and competitive environment Additionally this position will engage and coordinate the efforts of key stakeholders and subject matter experts to meet the scope and deadlines of projects Deliverables will be achieved by pairing strong relationship management skills with a high level of analytical skills a keen eye for details and a collaborative frame of mind As with all positions at KeHE Distributors we expect that all actions will be consistent with KeHE’s Mission Vision and Values RESPONSIBILITIES  Compiles data from internal systems ensures data is relevant and accurate and prepares data for analysis Analyzes data to identify trends patterns and insights to be used to make informed business decisions that impact business critical systems Gathers actionable qualitative information to support the development of project strategies and action plans Examines warehouse operations data to support planning and improvements of business systems Collaborates with operations stakeholders to ensure warehouse processes are efficient and reflect the data Presents recommendations to internal teams through verbal written and digital communications Designs dashboards and visualizations with data in Power BI Utilizes tools such as SQL Power BI and Excel to combine and analyze data into formats suitable for analysis and business recommendations Utilizes statistical methods and data modeling to produce reports dashboards and data files  REQUIREMENTS  Bachelors degree in Information Technology Business Business Analytics Supply Chain Management Logistics or a related field required Minimum of 2 years’ experience in quantitative general business analytics Experience with data visualizationPower BI and SQL tools required Experience working in crossfunctional teams and driving results through influenc  Job Types Fulltime Parttime Pay 6521019  7453270 per year Benefits  401k Dental insurance Employee assistance program Employee stock purchase plan Health insurance Paid time off Vision insurance  Schedule  8 hour shift Day shift Monday to Friday  Application Questions  What are your compensation requirements required Would you at any time require sponsorship required  Experience  SQL 3 years Required Power BI 3 years Required Data analysis skills 3 years Required  Ability to Commute  Naperville IL 60563 Required  Ability to Relocate  Naperville IL 60563 Relocate before starting work Required  Willingness to travel  50 Preferred  Work Location Hybrid remote in Naperville IL 60563 |
13|Data Analyst|Operational Analyst|Workforce Solutions, LLCSan Juan, PR 00927 (El Cinco area)|http://www.indeed.com/rc/clk?jk=b4ceaeca87573fa5&bb=HTB3LzNbtvMzUp0-1YIE_yYN-6cc5y-DpxtIexaPwGs0FY_8AqaEECZ6U_vJqvWWwJAK8Sa4PR36DzOzz3PNRuh-jStn2Z2XFYzSgqj-KHfMnDf60mG5wg%3D%3D&xkcb=SoD_67M3CNu_pjxylh0GbzkdCdPP&fccid=0d4216dab5aeaf10&cmp=Workforce-Solutions%2C-LLC&ti=Operational+Analyst&vjs=3|Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in Microsoft OfficeYesNoEducationDo you have a Bachelors degreeYesNoLanguagesDo you know SpanishYesNo Job detailsHere’s how the job details align with your profilePay17 an hourJob typeTemporaryFulltimeShift and schedule8 hour shiftOvertimeWeekends as neededMonday to Friday LocationWorkforce Solutions LLC in San Juan PR 00927 Full job descriptionMinimum Requirements  Bilingual English and Spanish Minimum intermediate English Bachelor’s in Business Adm Finance Accounting or related fields 2 years of experience in a similar role Must have excellent analytical skills Mastery with Microsoft Office Excel Word and Outlook Availability to work from Monday to Friday from 8AM to 5PM or 9AM to 6PM Available to work overtime and weekends  Equal Employment Opportunity Job Types Fulltime Temporary Salary 1700 per hour Schedule  8 hour shift Monday to Friday Overtime Weekends as needed  Application Questions  What is your salary expectations Are you currently unemployed or will be soon  Education  Bachelors Required  Experience  Microsoft Office 1 year Preferred Data Entry 1 year Preferred Customer service 1 year Preferred Operational Analyst 2 years Preferred Analysis skills 1 year Preferred  Language  Spanish very fluently Preferred English very fluently Preferred  Work Location In person |
14|Data Analyst|Senior Software Business Analyst|TegritLivonia, MI 48152|http://www.indeed.com/rc/clk?jk=f7e39c061c12ac97&bb=HTB3LzNbtvMzUp0-1YIE_3CcD8h2WSexMRuc68_BkuBgZmZ1shG5FovAW62k00g0_wP_EplCS8zSiF9fWPuwVc2JT0Rk6AOB2aWh21-IpkZprn-J_ML6jA%3D%3D&xkcb=SoBi67M3CNu_pjxylh0FbzkdCdPP&fccid=8f5a3814bc4dcc0b&cmp=Tegrit&ti=Senior+Software+Analyst&vjs=3|Profile insightsFind out how your skills align with the job descriptionSkillsDo you have experience in System designYesNoEducationDo you have a Bachelors degreeYesNo Job detailsHere’s how the job details align with your profilePay80000  120000 a yearJob typeFulltimeShift and schedule8 hour shift Location17187 N Laurel Park Dr Livonia MI 48152 BenefitsPulled from the full job description401k401k matchingDental insuranceFlexible scheduleHealth insuranceHealth savings accountLife insuranceShow morechevron down Full job descriptionAbout us At Tegrit its a simple formula we start with incredible people and they build awesome solutions to improve the performance of our client’s business Tegrit transforms our client’s vision into practical solutions that are easy to use elegantly designed and provide exceptional value We invest in the expertise of our team members Our clients in turn receive the most capable service in the market for pension software content management talent management project management and software quality assurance Tegrit is dedicated to delivering innovative solutions to customers of all sizes in both the public and private sectors We are focused on the needs of employers today and tomorrow Impersonation Notice We have been made aware of third parties impersonating Tegrit using tegritcareerscom email addresses Tegrit does not own tegritcareerscom and will only send email from tegritcom email addresses or directly through Indeed Senior Software Business Analyst Livonia MI Senior Software Business Analyst Position Description The Senior Business Analyst is a subject matter expert for publicsector retirement plan administration and related business processes Reviews analyzes and evaluates existing client systems business processes and user needs Documents requirements specifications process improvements and solutions to meet stated business objectives Relies on experience and expert judgment to plan project work and accomplish goals Coaches and assists Business Analysts with their assignments and career development The Business Analyst is a primary interface between the client and the project team and must demonstrate strong leadership and interpersonal skills Senior Software Business Analyst Major Job Functions  Understands the business issues and data challenges of clients organization Documents requirements specifications business processes and recommendations related to the proposed solution Develops functional specifications and system design specifications to meet business objectives Facilitates team and client meetings along with the Project Manager Works with Development and Quality Assurance teams to complete deliverables test solutions record issues and implement changes as needed Works with Project Managers to develop Statements of Work SOW to document project scope schedule and cost along with related assumptions and risks Collaborates with Product Development team to analyze design and communicate business and functional requirements for product enhancements Communicates effectively with clients to identify needs and evaluate alternative business solutions Manages client expectations Travels to client sites up to 50 for onsite planning requirements training testing and status meetings  Senior Software Business Analyst Qualifications  Bachelor’s Degree or equivalent work experience in a technical or business management discipline 5 years of experience as an analyst High attention to detail multitasking prioritization and organizational skills Demonstrated client service skills Excellent verbal and written communication skills ability to problem solve make sound decisions and resolve conflicts Ability to resolve conflict and negotiate solutions where necessary Ability to prioritize multiple complex projects and meet deadlines  Additional Desired Qualifications   Public sector retirement experience Software development experience  Job Type Fulltime Pay 8000000  12000000 per year Benefits  401k 401k matching Dental insurance Flexible schedule Health insurance Health savings account Life insurance Paid time off Vision insurance  Schedule  8 hour shift  Education  Bachelors Required  Experience  Technical BA 5 years Required  Ability to Commute  Livonia MI 48152 Required  Willingness to travel  50 Preferred  Work Location In person |
10|Data Analyst|Board Certified Behavior Analyst (BCBA) in Charlotte, NC|Hidden Gems ABACharlotte, NC|http://www.indeed.com/rc/clk?jk=4c7278ae5f2e704d&bb=_z29DTfclsgBXcQL_xOx13BerTjUz7ZZqi_5wRxQUhvmKIMBX7eLmnqMRuAFIVq0RCF9kmsJa6i-FnJtk9U0hzx6X7QmXoq0b0rBwLvAeY3jIOn_w7PRdQ%3D%3D&xkcb=SoC667M3CNu7yWxylh0BbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3|Profile insightsFind out how your skills align with the job descriptionLicensesDo you have a valid Licensed Behavior Analyst licenseYesNoCertificationsDo you have a valid BCBA certificationYesNoSkillsDo you have experience in Supervising experienceYesNoEducationDo you have a Masters degreeYesNo Job detailsHere’s how the job details align with your profilePay75  85 an hourJob typeParttimeFulltime LocationCharlotte NC BenefitsPulled from the full job descriptionDental insuranceHealth insurancePaid trainingVision insurance Full job description Hidden Gems ABA is a growing ABA therapy company We are looking for part or fulltime BCBAs with strong skills experience and passion for helping children with autism spectrum disorder using ABA principles  At Hidden Gems ABA we care deeply about each child We work diligently to treat each individual and their family with respect while providing exceptional services We believe that working together as a team leads to enhanced and continuous progress as we strive to discover each child’s hidden abilities  Board Certified Behavior Analyst BCBA  The BCBA will develop implement and maintain behavior analytic comprehensive treatment and behavior plans for individuals with autism and their stakeholders  Responsibilities  Conduct assessments including FBAs and develop ABA treatment and behavior intervention plans Train and supervise behavior technicians in ABA programs across applicable settings Educate and work with parents on behavior analytic techniques Coordinate care with client’s other service providers Create and maintain effective data collection methods Track and analyze data and modifycreate new programs accordingly Attend team meetings and trainings Directly work with clients when applicable  Qualifications  Must have LBA for North Carolina Current and maintain BCBA certification Master’s Degree in Applied Behavior Analysis or related human services field eg education social work or psychology Minimum one 1 year as a BCBA or similar supervisory role Excellent verbalwritten communication skills Compliant with HIPAA BACB and insurance funders  Preferred qualifications  Experience conducting VBMAPP ABLLS Vineland and FASTQABF among other assessments Proficient at writing initial and progress reports Comfortable using electronic data collection and reporting technology CentralReach  Benefits  Paid training Free CEUs 32 Comprehensive health care coverage including medical dental and vision  Compensation  7585 per hour for highly qualified candidates  Location Charlotte NC  Employment is contingent on passing a background check and TB test along with having a valid drivers license   |
11|Data Analyst|Board Certified Behavior Analyst|You & Us aba servicesHollywood, FL|http://www.indeed.com/rc/clk?jk=681283262ffe3993&bb=_z29DTfclsgBXcQL_xOx1xiloMt0e4NDQyHO3WvEUTZixyiUzCSE4Vp1RlueLT_-n2BcQCp6oeOOv6EUU-uSHKidOdvSh5wTKNHOhtepdHgWQdaukN0Dqw%3D%3D&xkcb=SoAO67M3CNu7yWxylh0AbzkdCdPP&fccid=635c1faa90a1f26c&cmp=You-%2526-Us-aba-services&ti=Board+Certified+Behavior+Analyst&vjs=3|Profile insightsFind out how your skills align with the job descriptionCertificationsDo you have a valid BCBA certificationYesNoSkillsDo you have experience in Data collectionYesNo Job detailsHere’s how the job details align with your profilePay65  70 an hourJob typeParttimeFulltimeShift and schedule8 hour shift4 hour shift LocationHollywood FL BenefitsPulled from the full job descriptionFlexible scheduleHealth insuranceRetirement plan Full job descriptionSchool cases between North Miami to Hollywood Must have medicaid number Those sitting for the exam are welcome to apply for student analyst position Responsibilities Conduct assessments and evaluations to determine the needs of individuals with developmental disabilities Develop and implement behavior intervention plans based on assessment results Provide direct behavioral therapy services to individuals with special needs including children with autism Collect and analyze data to monitor progress and make necessary adjustments to treatment plans Collaborate with other professionals such as educators and therapists to ensure coordinated care Provide training and support to parents and caregivers on implementing behavior strategies at home Skills Board Certification as a Behavior Analyst BCBA Experience working with children with developmental disabilities particularly autism Knowledge of applied behavior analysis ABA principles and techniques Strong data collection and analysis skills Excellent communication and interpersonal skills Ability to work independently and as part of a multidisciplinary team This is an opportunity to make a meaningful impact in the lives of individuals with special needs We offer competitive compensation and benefits packages including health insurance retirement plans and professional development opportunities If you are passionate about helping individuals with developmental disabilities reach their full potential we encourage you to apply 1099 or W2 option Job Types Fulltime Parttime Pay 6500  7000 per hour Expected hours 40 per week Benefits  Flexible schedule  Compensation package  Quarterly bonus  Patient demographics  Adolescents Children  Schedule  4 hour shift 8 hour shift  Travel requirement  Up to 25 travel  LicenseCertification  BCBA Required  Ability to Relocate  Hollywood FL Relocate before starting work Required  Willingness to travel  25 Preferred  Work Location On the road |
12|Data Analyst|Board Certified Behavior Analyst (BCBA)|Precision ABA TherapyParkland, FL|http://www.indeed.com/rc/clk?jk=2e57f313e9695ea3&bb=_z29DTfclsgBXcQL_xOx10BAHh8jMNl0VNiBzpFItNzhBRC8atZZKMXx1pEdKKirGNtMGqlxwvHANhw5twTYxlJR8fFFZj3WGuQGcwLIP5qMhO0aqUytPA%3D%3D&xkcb=SoCA67M3CNu7yWxylh0HbzkdCdPP&fccid=434fc3efabb8cda1&vjs=3|Profile insightsFind out how your skills align with the job descriptionCertificationsDo you have a valid BCBA certificationYesNoSkillsDo you have experience in Supervising experienceYesNoEducationDo you have a Masters degreeYesNo Job detailsHere’s how the job details align with your profilePay65  75 an hourJob typeFulltime LocationParkland FL Full job description Precision ABA Therapy PLLC is seeking a dedicated and experienced Board Certified Behavior Analyst BCBA to join our team in Parkland Florida As a BCBA you will play a pivotal role in providing leadership and clinical expertise in the field of Applied Behavior Analysis ABA to support individuals with autism spectrum disorders and related developmental disabilities If you are passionate about making a positive impact and leading a team of professionals we invite you to apply  Responsibilities  Conduct assessments functional behavior assessments FBAs and develop individualized treatment plans Provide supervision and training to Behavior Technicians and ABA Para Monitor and analyze data to assess progress and make necessary adjustments to treatment plans Collaborate with families caregivers and other professionals to ensure continuity of care  Qualifications  Board Certification as a Behavior Analyst BCBA Strong leadership and supervisory skills Excellent communication and interpersonal skills Ability to conduct functional behavior assessments FBAs and develop behavior intervention plans Proficiency in data collection analysis and report writing    |
13|Data Analyst|Board Certified Behavior Analyst (Bcba)|New BocesGillette, WY 82716|http://www.indeed.com/rc/clk?jk=203942e3dfefe566&bb=_z29DTfclsgBXcQL_xOx12i-avX0HXLsAnwqcDOtqnVIXAJDlReD3vMojBivCwKh7ng0U5B5N1sFCsyD2x3Yc4MtzVjW_AdYFkbuhvll9SuHYBQhGRMauw%3D%3D&xkcb=SoA067M3CNu7yWxylh0GbzkdCdPP&fccid=66e92922adc95128&vjs=3|Profile insightsFind out how your skills align with the job descriptionCertificationsDo you have a valid BCBA certificationYesNoSkillsDo you have experience in Behavioral therapyYesNo Job detailsHere’s how the job details align with your profilePay65000  110000 a yearJob typeFulltimeShift and schedule8 hour shift LocationGillette WY 82716 BenefitsPulled from the full job description401k matchingContinuing education creditsDental insuranceEmployee assistance programHealth insuranceLife insurancePaid sick timeShow morechevron down Full job description Job description  Duties  Conduct assessments and develop individualized treatment plans for patients with autism and other developmental disabilities Implement evidencebased behavioral interventions and strategies to address challenging behaviors and promote skill development Provide direct behavioral therapy services to patients including conducting therapy sessions and monitoring progress Collect and analyze data to evaluate treatment effectiveness and make necessary adjustments to intervention plans Collaborate with interdisciplinary team members including parents caregivers educators and other healthcare professionals to ensure coordinated care Maintain accurate and confidential medical records in compliance with HIPAA regulations Stay uptodate with current research and best practices in applied behavior analysis ABA and behavioral health   Skills  Board Certified Behavior Analyst BCBA certification required Experience working with individuals with autism or other developmental disabilities Proficient in conducting functional behavior assessments FBAs and developing behavior intervention plans BIPs Strong knowledge of applied behavior analysis ABA principles and techniques Ability to collect analyze and interpret data related to patient progress and treatment outcomes Excellent communication skills to effectively collaborate with patients families and interdisciplinary team members Knowledge of relevant laws regulations and ethical guidelines related to behavioral health services Ability to provide compassionate patient care while maintaining professional boundaries   Note This job description is not intended to be allinclusive The employee may perform other related duties as assigned by their supervisor  Job Type Fulltime   Salary 6500000  11000000 per year   Benefits     401k matching Continuing education credits Dental insurance Employee assistance program Health insurance Life insurance Paid sick time Paid time off Professional development assistance Retirement plan Vision insurance     Patient demographics     Adolescents Children     Schedule  8 hour shift   Travel requirement  No travel   Work Location In person   Edit job  Open   View public job page   Available shifts and compensation We have available shifts all days of the week Compensation depends on your experience  By applying to this job you agree to receive periodic text messages from this employer and Homebase about your pending job application Opt out anytime Msg  data rates may apply  Powered by Homebase Free employee scheduling time clock and hiring tools  |
14|Data Analyst|Board Certified Behavior Analyst (BCBA) - Adult|Helping HandHodgkins, IL 60525|http://www.indeed.com/rc/clk?jk=7b906089b9d8c9c0&bb=_z29DTfclsgBXcQL_xOx116002hEC1bWYdThVKNKUrzJyRjaON_6sQJreAguq8GHiJmNlvmhdazY0F9ZKQkgS0DXqgI64M-XR8-D1N_DBRvBsYyXN6PWMA%3D%3D&xkcb=SoCp67M3CNu7yWxylh0FbzkdCdPP&fccid=23be71a825cd4e0f&vjs=3|Profile insightsFind out how your skills align with the job descriptionCertificationsDo you have a valid BCBA certificationYesNo Job detailsHere’s how the job details align with your profilePay71000  78000 a yearJob typeFulltimeShift and scheduleMonday to Friday Location6160 East Avenue Hodgkins IL 60525 BenefitsPulled from the full job description403bDental insuranceEmployee assistance programHealth insurancePaid sick timePaid time offTuition reimbursementShow morechevron down Full job description ABOUT US Helping Hands mission is to transform the lives of all connected to Helping Hand through genuine care and education So that people with intellectual and developmental disabilities are equally valued in all communities Established in 1955 Helping Hand is proud to serve over 70 surrounding communities by providing accredited and licensed Adult Programs as well as an ISBEapproved nonpublic Therapeutic Day School   Helping Hand has been awarded Best and Brightest Places to Work for both Chicago and the Nation for 5 years in a row This award is a reflection of the incredible talent and commitment shown by our HH team members every day   If youre ready to join our incredible team apply today   SCHEDULE AND COMPENSATION   Onsite position Monday  Friday 40 hours per week  Salary range 71000  78000salary exempt Salary based on skills and experience  Up to 8 annual bonus potential    HELPING HAND PERKS   Team member appreciation events and recognition throughout the year  Tuition reimbursement  Paid holidays  Paid vacation  Paid personal days after 1 year of service  Accrued paid sick time  Employee Assistance Programs  Traditional medical dental vision insurance and supplementalvoluntary benefit options  403b retirement plan with up to a 4 company match    A TYPICAL DAY FOR YOU AT HH   Help to reduce maladaptive behaviors by developing a functional assessment comprising of direct observation informal interviews standardized questionnaires archival data etc that identifies the maintaining variables for the maladaptive behaviors  Develop an individualized Behavior Intervention Plan based on the results from the Functional Assessment  Update and implement Behavior Intervention Plan BIP Update at a minimum once a year prior to annual staffing  Choose appropriate data collection method to capture behavior changes monthly analyze data every 3 months  Train staff on the correct implementation of the Behavior Intervention Plan  Conduct annual preference assessments  Help to increase adaptive behaviors  Work as a member of an interdisciplinary team  Must fulfill all necessary training requirements of the stateagency  Always maintain client confidentiality  Other duties as assigned   LAND THIS OPPORTUNITY BY HAVING   Graduate degree from an accredited University with coursework in behavior analysis  Currently certified as a BoardCertified Behavior Analyst BCBA by the BACB or able to pass the examination within 90 days of hire  Experience working with children or adults with developmental disabilities required  Experience with Autism Spectrum Disorders andor Mental Health Diagnoses preferred  Computer skills in the use of word processing internet and electronic mail software  Ability to selftransport to work and home visits  Excellent and professional interpersonal skills  Currently certified as a BoardCertified Behavior Analyst BCBA or able to pass the examination within 90 days of hire  Maintain BCBA certification renewal every two years  Experience working with children or adults with developmental disabilities experience with autism spectrum disorders  Able to work independently and as part of a team  Ability to promote and adhere to company values  A commitment to a diverse inclusive and equitable work environment    WORK ENVIRONMENT   The person in this position needs to occasionally move about to assist clientsstudents access file cabinets office machinery etc  The ability to observe details at a close range within a few feet of the observer  Consistently position self to maintain files in file cabinets or assist clientsstudents  The ability to communicate information and ideas so others will understand Must be able to exchange accurate information in these situations    Helping Hand welcomes diversity and provides equal employment opportunities to all employees and applicants and prohibits discrimination and harassment of any type without regard to race color religion age sex national origin disability status genetics protected veteran status sexual orientation gender identity or expression or any other characteristic protected by federal state or local laws  |
0|Data Analyst|Clinical Quality Analyst|Innovative System GroupHelena, MT 59601|http://www.indeed.com/rc/clk?jk=4b29fdcc5a2cff72&bb=qDo60ZEs1gKt0BTjjNpzNzgy1db3sdncBMq3xsXv4QldSG9DIilQgIDC27WL8MyxuhisJHhVE-AgExFBHLcU0UDjepl1IRJlt_mAswrcBtLqLnfZn84ewg%3D%3D&xkcb=SoDW67M3CNu4C6w3hB0LbzkdCdPP&fccid=eb32414683c9bd24&cmp=Innovative-System-Group&ti=Clinical+Analyst&vjs=3|Profile insightsFind out how your skills align with the job descriptionLicensesDo you have a valid RN License licenseYesNoSkillsDo you have experience in Statistical softwareYesNo Job detailsHere’s how the job details align with your profilePay25  30 an hourJob typeFulltimeContract LocationInnovative System Group in Helena MT 59601 Full job descriptionJob Purpose This position is responsible for conducting data collection and abstraction of medical records for HEDIS and Quality projects including supplemental data collection Responsible for interacting with various internal staff internal departments and network providersIPA’s to ensure quality performance and results for the companys managed care products Responsible for auditing all aspects of company clinical quality improvement projects and evaluating PCPMGIPA compliance with company clinical practice guidelines Also responsible for data analysis interaction with providers Practices and IPAs to educate on HEDIS measures gaps in care and quality programs Translate data into actionable information and determine areas for improvements as well as help implement actions toward improvement and report results to internal and external customers DUTIES AND RESPONSIBILITIES  Interact with various internal departments network practitioners and MGIPAs to ensure quality for the companys managed care products Responsible for auditing analysis of clinical data and interaction with providers to translate data into information determine areas for improvement and help implement actions toward improvement Conduct audits for HMO Clinical Quality Improvement Projects Analyzes data and creates reports for statistically significant random samples regarding interrater reliability Reports findings to projectspecific workgroups and management Identifies opportunities for improvement Assists with implementation of corrective action plans Reaudits to evaluate effectiveness of interventions Develop reports and presents findings to QI Workgroups as well as the Managed Care Quality Improvement Committees regarding HMO PPOFEP and POS quality improvement issues Perform quantitative and qualitative analysis for HMO and POS Clinical Quality Improvement projects Creates detailed Quality Improvement Activity reports required for NCQA accreditation evaluates outcomes works with Quality Management Specialists to determine opportunities for improvement and helps implement actions toward improvement Documents actions taken for improvement and measures the impact of interventions to determine if changes or improvements are statistically significant Conduct formal presentations reporting results from oversight of delegated Behavioral Health continuity and coordination performance Medical Management audits HMO Clinical Quality Improvement QI Fund Projects and provider appeal data analysis at projectspecific HEDIS and Quality Improvement Workgroups Perform onsite and concurrent audits for HEDIS Effectiveness of Care clinical indicators during data abstraction process evaluate interrater reliability through analysis of employeespecific results reports results to staff and management assists with retraining employees on areas with identified deficiencies and evaluating the effectiveness of retraining Communicate and interact effectively and professionally with coworkers management customers etc Comply with HIPAA Diversity Principles Corporate Integrity Compliance Program policies and other applicable corporate and departmental policies Maintain complete confidentiality of company business Maintain communication with management regarding developments within areas of assigned responsibilities and perform special projects as required or requested  QUALIFICATIONS  Registered Nurse RN OR licensed clinician with current unrestricted license in MT Minimum of 3 years of clinical practice experience performing HEDIS medical record review Minimum of 3 years of Healthcare or Managed Care experience including quality improvement andor project management experience Minimum of 1 year HEDIS medical record data abstraction Working knowledge of managed care programs and NCQA andor URAC Accreditation guidelines Project management experience and skills Data analysis experience skills and knowledge of statistical analysis software and statistical methods and meaning knowledge Ability to adapt to changing priorities and managing a wide range of quality projects Able and willing to travel Verbal and written communication skills Problem resolution skills and ability to work with difficult situations with respect and diplomacy Presentation planning and delivery experience for provider training  Job Types Fulltime Contract Salary 2500  3000 per hour Work setting  Inperson  Ability to Relocate  Helena MT 59601 Relocate before starting work Required  Work Location In person |
